No,Ch1,Ch2,Ch3,Ch4
26454,0.217,0.142,0.267,0.374
26455,0.178,0.246,0.132,0.444
26456,0.196,0.163,0.258,0.383
26457,0.115,0.234,0.287,0.364
26458,0.133,0.309,0.116,0.442
26459,0.113,0.153,0.392,0.342
26460,0.135,0.203,0.159,0.503
26461,0.126,0.293,0.314,0.267
26462,0.275,0.302,0.1,0.323
26463,0.119,0.144,0.402,0.335
26464,0.144,0.195,0.264,0.397
26465,0.114,0.316,0.19,0.38
26466,0.179,0.32,0.116,0.385
26467,0.392,0.116,0.127,0.365
26468,0.459,0.295,0.118,0.128
26469,0.264,0.159,0.121,0.456
26470,0.083,0.19,0.267,0.46
26471,0.481,0.179,0.213,0.127
26472,0.069,0.114,0.682,0.135
26473,0.348,0.11,0.123,0.419
26474,0.056,0.271,0.494,0.179
26475,0.222,0.105,0.243,0.43
26476,0.073,0.24,0.168,0.519
26477,0.108,0.114,0.336,0.442
26478,0.354,0.173,0.241,0.232
26479,0.16,0.168,0.429,0.243
26480,0.464,0.168,0.168,0.2
26481,0.075,0.101,0.427,0.397
26482,0.147,0.106,0.378,0.369
26483,0.25,0.17,0.194,0.386
26484,0.122,0.09,0.559,0.229
26485,0.087,0.594,0.176,0.143
26486,0.384,0.125,0.205,0.286
26487,0.082,0.199,0.37,0.349
26488,0.166,0.227,0.19,0.417
26489,0.18,0.213,0.183,0.424
26490,0.175,0.249,0.188,0.388
26491,0.457,0.274,0.11,0.159
26492,0.258,0.279,0.12,0.343
26493,0.114,0.136,0.342,0.408
26494,0.183,0.504,0.107,0.206
26495,0.268,0.178,0.143,0.411
26496,0.137,0.146,0.53,0.187
26497,0.218,0.12,0.307,0.355
26498,0.311,0.099,0.135,0.455
26499,0.179,0.158,0.213,0.45
26500,0.182,0.335,0.118,0.365
26501,0.246,0.179,0.156,0.419
26502,0.28,0.191,0.16,0.369
26503,0.121,0.542,0.125,0.212
26504,0.121,0.168,0.18,0.531
26505,0.13,0.299,0.195,0.376
26506,0.203,0.359,0.198,0.24
26507,0.354,0.229,0.197,0.22
26508,0.183,0.368,0.187,0.262
26509,0.288,0.292,0.2,0.22
26510,0.178,0.301,0.222,0.299
26511,0.183,0.408,0.244,0.165
26512,0.129,0.32,0.216,0.335
26513,0.178,0.388,0.284,0.15
26514,0.107,0.36,0.263,0.27
26515,0.285,0.149,0.426,0.14
26516,0.3,0.224,0.196,0.28
26517,0.317,0.201,0.202,0.28
26518,0.237,0.206,0.277,0.28
26519,0.314,0.154,0.272,0.26
26520,0.433,0.195,0.183,0.189
26521,0.116,0.412,0.179,0.293
26522,0.448,0.218,0.19,0.144
26523,0.174,0.452,0.167,0.207
26524,0.197,0.313,0.115,0.375
26525,0.271,0.176,0.225,0.328
26526,0.113,0.443,0.252,0.192
26527,0.229,0.19,0.28,0.301
26528,0.145,0.394,0.283,0.178
26529,0.18,0.131,0.491,0.198
26530,0.414,0.236,0.137,0.213
26531,0.219,0.254,0.308,0.219
26532,0.227,0.432,0.131,0.21
26533,0.223,0.4,0.153,0.224
26534,0.41,0.262,0.133,0.195
26535,0.09,0.337,0.369,0.204
26536,0.136,0.277,0.241,0.346
26537,0.292,0.358,0.131,0.219
26538,0.136,0.198,0.413,0.253
26539,0.232,0.338,0.214,0.216
26540,0.327,0.331,0.128,0.214
26541,0.283,0.177,0.15,0.39
26542,0.278,0.241,0.181,0.3
26543,0.172,0.312,0.133,0.383
26544,0.174,0.467,0.168,0.191
26545,0.424,0.168,0.139,0.269
26546,0.145,0.354,0.261,0.24
26547,0.479,0.152,0.12,0.249
26548,0.404,0.129,0.311,0.156
26549,0.082,0.287,0.409,0.222
26550,0.289,0.159,0.38,0.172
26551,0.238,0.19,0.392,0.18
26552,0.327,0.14,0.296,0.237
26553,0.377,0.284,0.144,0.195
26554,0.257,0.368,0.245,0.13
26555,0.12,0.263,0.307,0.31
26556,0.317,0.188,0.227,0.268
26557,0.227,0.154,0.256,0.363
26558,0.107,0.329,0.35,0.214
26559,0.269,0.312,0.113,0.306
26560,0.11,0.158,0.484,0.248
26561,0.122,0.45,0.118,0.31
26562,0.112,0.373,0.312,0.203
26563,0.135,0.133,0.423,0.309
26564,0.294,0.205,0.151,0.35
26565,0.156,0.193,0.326,0.325
26566,0.128,0.4,0.278,0.194
26567,0.438,0.162,0.135,0.265
26568,0.42,0.135,0.113,0.332
26569,0.144,0.171,0.25,0.435
26570,0.124,0.485,0.107,0.284
26571,0.309,0.13,0.168,0.393
26572,0.18,0.179,0.454,0.187
26573,0.135,0.13,0.485,0.25
26574,0.093,0.123,0.516,0.268
26575,0.247,0.313,0.106,0.334
26576,0.258,0.142,0.124,0.476
26577,0.335,0.307,0.111,0.247
26578,0.096,0.515,0.138,0.251
26579,0.414,0.265,0.134,0.187
26580,0.129,0.128,0.396,0.347
26581,0.146,0.133,0.269,0.452
26582,0.365,0.171,0.156,0.308
26583,0.122,0.219,0.368,0.291
26584,0.196,0.201,0.192,0.411
26585,0.249,0.198,0.312,0.241
26586,0.247,0.139,0.224,0.39
26587,0.178,0.296,0.208,0.318
26588,0.191,0.424,0.14,0.245
26589,0.126,0.202,0.194,0.478
26590,0.098,0.27,0.379,0.253
26591,0.129,0.257,0.164,0.45
26592,0.211,0.352,0.146,0.291
26593,0.143,0.152,0.379,0.326
26594,0.174,0.152,0.373,0.301
26595,0.177,0.226,0.174,0.423
26596,0.206,0.168,0.13,0.496
26597,0.163,0.252,0.299,0.286
26598,0.268,0.289,0.158,0.285
26599,0.163,0.289,0.207,0.341
26600,0.294,0.197,0.277,0.232
26601,0.162,0.428,0.184,0.226
26602,0.211,0.249,0.202,0.338
26603,0.324,0.25,0.188,0.238
26604,0.274,0.212,0.192,0.322
26605,0.222,0.278,0.294,0.206
26606,0.173,0.327,0.186,0.314
26607,0.241,0.287,0.17,0.302
26608,0.132,0.384,0.212,0.272
26609,0.127,0.358,0.251,0.264
26610,0.16,0.435,0.165,0.24
26611,0.155,0.398,0.219,0.228
26612,0.252,0.265,0.199,0.284
26613,0.128,0.29,0.376,0.206
26614,0.157,0.153,0.431,0.259
26615,0.38,0.156,0.19,0.274
26616,0.356,0.198,0.171,0.275
26617,0.341,0.2,0.22,0.239
26618,0.167,0.395,0.167,0.271
26619,0.319,0.279,0.168,0.234
26620,0.214,0.288,0.29,0.208
26621,0.251,0.222,0.229,0.298
26622,0.144,0.235,0.379,0.242
26623,0.16,0.241,0.272,0.327
26624,0.34,0.245,0.214,0.201
26625,0.155,0.224,0.362,0.259
26626,0.13,0.373,0.199,0.298
26627,0.169,0.263,0.162,0.406
26628,0.136,0.218,0.229,0.417
26629,0.218,0.204,0.216,0.362
26630,0.354,0.231,0.132,0.283
26631,0.253,0.254,0.18,0.313
26632,0.115,0.267,0.318,0.3
26633,0.309,0.222,0.161,0.308
26634,0.193,0.213,0.322,0.272
26635,0.153,0.2,0.304,0.343
26636,0.161,0.422,0.147,0.27
26637,0.187,0.256,0.207,0.35
26638,0.11,0.399,0.23,0.261
26639,0.35,0.272,0.223,0.155
26640,0.213,0.611,0.081,0.095
26641,0.269,0.29,0.317,0.124
26642,0.321,0.473,0.109,0.097
26643,0.087,0.278,0.329,0.306
26644,0.093,0.35,0.253,0.304
26645,0.252,0.52,0.12,0.108
26646,0.29,0.198,0.267,0.245
26647,0.539,0.257,0.076,0.128
26648,0.113,0.147,0.29,0.45
26649,0.064,0.472,0.22,0.244
26650,0.183,0.476,0.232,0.109
26651,0.24,0.52,0.117,0.123
26652,0.187,0.458,0.158,0.197
26653,0.116,0.442,0.208,0.234
26654,0.187,0.297,0.25,0.266
26655,0.224,0.24,0.135,0.401
26656,0.096,0.174,0.26,0.47
26657,0.193,0.127,0.266,0.414
26658,0.412,0.283,0.162,0.143
26659,0.252,0.351,0.188,0.209
26660,0.312,0.158,0.338,0.192
26661,0.209,0.471,0.143,0.177
26662,0.272,0.321,0.163,0.244
26663,0.228,0.211,0.316,0.245
26664,0.315,0.337,0.165,0.183
26665,0.147,0.335,0.197,0.321
26666,0.125,0.322,0.358,0.195
26667,0.105,0.257,0.325,0.313
26668,0.145,0.41,0.13,0.315
26669,0.115,0.162,0.501,0.222
26670,0.113,0.339,0.295,0.253
26671,0.295,0.178,0.283,0.244
26672,0.272,0.2,0.161,0.367
26673,0.31,0.327,0.206,0.157
26674,0.187,0.29,0.288,0.235
26675,0.299,0.231,0.308,0.162
26676,0.288,0.174,0.2,0.338
26677,0.175,0.35,0.264,0.211
26678,0.276,0.238,0.26,0.226
26679,0.284,0.141,0.33,0.245
26680,0.173,0.214,0.319,0.294
26681,0.298,0.192,0.246,0.264
26682,0.279,0.194,0.233,0.294
26683,0.139,0.255,0.327,0.279
26684,0.267,0.216,0.32,0.197
26685,0.148,0.407,0.259,0.186
26686,0.305,0.216,0.279,0.2
26687,0.142,0.326,0.267,0.265
26688,0.108,0.218,0.415,0.259
26689,0.336,0.253,0.228,0.183
26690,0.303,0.18,0.278,0.239
26691,0.129,0.249,0.287,0.335
26692,0.312,0.136,0.257,0.295
26693,0.163,0.297,0.289,0.251
26694,0.238,0.282,0.182,0.298
26695,0.193,0.363,0.138,0.306
26696,0.112,0.456,0.202,0.23
26697,0.255,0.115,0.186,0.444
26698,0.176,0.229,0.104,0.491
26699,0.109,0.121,0.565,0.205
26700,0.226,0.096,0.187,0.491
26701,0.204,0.083,0.526,0.187
26702,0.093,0.652,0.105,0.15
26703,0.117,0.211,0.101,0.571
26704,0.133,0.125,0.186,0.556
26705,0.108,0.177,0.599,0.116
26706,0.31,0.095,0.125,0.47
26707,0.12,0.25,0.093,0.537
26708,0.089,0.124,0.656,0.131
26709,0.624,0.098,0.094,0.184
26710,0.135,0.623,0.095,0.147
26711,0.188,0.12,0.117,0.575
26712,0.266,0.113,0.129,0.492
26713,0.109,0.183,0.168,0.54
26714,0.056,0.147,0.592,0.205
26715,0.359,0.195,0.232,0.214
26716,0.178,0.32,0.181,0.321
26717,0.336,0.233,0.178,0.253
26718,0.356,0.206,0.157,0.281
26719,0.206,0.451,0.162,0.181
26720,0.178,0.18,0.43,0.212
26721,0.319,0.192,0.203,0.286
26722,0.146,0.346,0.172,0.336
26723,0.094,0.28,0.199,0.427
26724,0.508,0.125,0.14,0.227
26725,0.238,0.258,0.15,0.354
26726,0.327,0.116,0.288,0.269
26727,0.153,0.171,0.195,0.481
26728,0.343,0.242,0.173,0.242
26729,0.154,0.371,0.3,0.175
26730,0.122,0.255,0.351,0.272
26731,0.25,0.226,0.314,0.21
26732,0.152,0.174,0.176,0.498
26733,0.267,0.153,0.212,0.368
26734,0.169,0.397,0.136,0.298
26735,0.373,0.206,0.146,0.275
26736,0.204,0.18,0.224,0.392
26737,0.121,0.427,0.19,0.262
26738,0.225,0.261,0.179,0.335
26739,0.161,0.211,0.239,0.389
26740,0.169,0.479,0.146,0.206
26741,0.135,0.404,0.176,0.285
26742,0.455,0.17,0.109,0.266
26743,0.44,0.188,0.183,0.189
26744,0.274,0.263,0.155,0.308
26745,0.306,0.144,0.175,0.375
26746,0.375,0.201,0.174,0.25
26747,0.13,0.446,0.198,0.226
26748,0.122,0.154,0.4,0.324
26749,0.482,0.159,0.157,0.202
26750,0.205,0.26,0.143,0.392
26751,0.119,0.274,0.198,0.409
26752,0.177,0.513,0.116,0.194
26753,0.261,0.221,0.142,0.376
26754,0.134,0.166,0.422,0.278
26755,0.429,0.186,0.14,0.245
26756,0.22,0.161,0.2,0.419
26757,0.144,0.143,0.264,0.449
26758,0.213,0.166,0.413,0.208
26759,0.22,0.216,0.408,0.156
26760,0.138,0.18,0.376,0.306
26761,0.115,0.195,0.236,0.454
26762,0.201,0.179,0.147,0.473
26763,0.156,0.503,0.109,0.232
26764,0.175,0.357,0.118,0.35
26765,0.389,0.15,0.174,0.287
26766,0.264,0.146,0.189,0.401
26767,0.195,0.158,0.179,0.468
26768,0.098,0.263,0.425,0.214
26769,0.504,0.16,0.131,0.205
26770,0.144,0.149,0.296,0.411
26771,0.508,0.157,0.137,0.198
26772,0.147,0.177,0.47,0.206
26773,0.133,0.374,0.28,0.213
26774,0.487,0.17,0.126,0.217
26775,0.188,0.15,0.452,0.21
26776,0.118,0.512,0.138,0.232
26777,0.134,0.427,0.212,0.227
26778,0.112,0.264,0.356,0.268
26779,0.147,0.488,0.124,0.241
26780,0.157,0.168,0.171,0.504
26781,0.177,0.15,0.481,0.192
26782,0.484,0.159,0.121,0.236
26783,0.443,0.169,0.175,0.213
26784,0.106,0.513,0.183,0.198
26785,0.121,0.175,0.399,0.305
26786,0.115,0.487,0.133,0.265
26787,0.125,0.141,0.224,0.51
26788,0.198,0.159,0.156,0.487
26789,0.141,0.389,0.149,0.321
26790,0.125,0.533,0.142,0.2
26791,0.481,0.118,0.151,0.25
26792,0.123,0.121,0.207,0.549
26793,0.279,0.248,0.116,0.357
26794,0.573,0.131,0.159,0.137
26795,0.142,0.062,0.422,0.374
26796,0.099,0.46,0.093,0.348
26797,0.567,0.077,0.074,0.282
26798,0.6,0.081,0.103,0.216
26799,0.455,0.141,0.274,0.13
26800,0.096,0.151,0.502,0.251
26801,0.202,0.116,0.129,0.553
26802,0.226,0.105,0.094,0.575
26803,0.125,0.599,0.063,0.213
26804,0.124,0.351,0.093,0.432
26805,0.308,0.078,0.123,0.491
26806,0.107,0.108,0.164,0.621
26807,0.112,0.082,0.347,0.459
26808,0.104,0.107,0.386,0.403
26809,0.344,0.087,0.332,0.237
26810,0.114,0.372,0.261,0.253
26811,0.154,0.078,0.547,0.221
26812,0.427,0.132,0.134,0.307
26813,0.359,0.309,0.097,0.235
26814,0.121,0.098,0.458,0.323
26815,0.221,0.077,0.391,0.311
26816,0.491,0.084,0.079,0.346
26817,0.289,0.33,0.145,0.236
26818,0.108,0.283,0.159,0.45
26819,0.103,0.525,0.086,0.286
26820,0.076,0.481,0.247,0.196
26821,0.15,0.099,0.124,0.627
26822,0.352,0.116,0.18,0.352
26823,0.15,0.088,0.132,0.63
26824,0.307,0.223,0.081,0.389
26825,0.416,0.102,0.096,0.386
26826,0.294,0.422,0.097,0.187
26827,0.123,0.145,0.124,0.608
26828,0.507,0.098,0.075,0.32
26829,0.108,0.349,0.175,0.368
26830,0.141,0.193,0.354,0.312
26831,0.156,0.214,0.329,0.301
26832,0.276,0.207,0.181,0.336
26833,0.222,0.182,0.2,0.396
26834,0.155,0.175,0.169,0.501
26835,0.156,0.216,0.302,0.326
26836,0.118,0.255,0.132,0.495
26837,0.207,0.135,0.134,0.524
26838,0.169,0.301,0.109,0.421
26839,0.126,0.127,0.155,0.592
26840,0.097,0.124,0.355,0.424
26841,0.112,0.199,0.19,0.499
26842,0.113,0.11,0.372,0.405
26843,0.127,0.156,0.163,0.554
26844,0.159,0.212,0.236,0.393
26845,0.116,0.189,0.108,0.587
26846,0.138,0.148,0.115,0.599
26847,0.099,0.122,0.325,0.454
26848,0.26,0.106,0.14,0.494
26849,0.13,0.327,0.155,0.388
26850,0.331,0.193,0.129,0.347
26851,0.105,0.137,0.461,0.297
26852,0.293,0.236,0.129,0.342
26853,0.102,0.267,0.461,0.17
26854,0.175,0.22,0.254,0.351
26855,0.17,0.141,0.214,0.475
26856,0.289,0.134,0.207,0.37
26857,0.103,0.375,0.113,0.409
26858,0.114,0.339,0.122,0.425
26859,0.244,0.107,0.174,0.475
26860,0.121,0.469,0.123,0.287
26861,0.155,0.145,0.188,0.512
26862,0.097,0.422,0.332,0.149
26863,0.198,0.47,0.112,0.22
26864,0.519,0.137,0.132,0.212
26865,0.174,0.157,0.197,0.472
26866,0.13,0.188,0.51,0.172
26867,0.465,0.106,0.205,0.224
26868,0.595,0.197,0.064,0.144
26869,0.081,0.608,0.114,0.197
26870,0.117,0.609,0.083,0.191
26871,0.076,0.523,0.216,0.185
26872,0.128,0.077,0.633,0.162
26873,0.067,0.078,0.595,0.26
26874,0.511,0.113,0.094,0.282
26875,0.4,0.271,0.104,0.225
26876,0.451,0.193,0.089,0.267
26877,0.583,0.073,0.181,0.163
26878,0.069,0.175,0.605,0.151
26879,0.437,0.157,0.268,0.138
26880,0.336,0.294,0.115,0.255
26881,0.057,0.073,0.699,0.171
26882,0.195,0.567,0.074,0.164
26883,0.171,0.427,0.205,0.197
26884,0.067,0.196,0.431,0.306
26885,0.135,0.113,0.179,0.573
26886,0.413,0.282,0.156,0.149
26887,0.283,0.087,0.445,0.185
26888,0.123,0.287,0.242,0.348
26889,0.402,0.162,0.132,0.304
26890,0.177,0.371,0.325,0.127
26891,0.115,0.339,0.153,0.393
26892,0.281,0.357,0.108,0.254
26893,0.578,0.107,0.093,0.222
26894,0.076,0.431,0.148,0.345
26895,0.143,0.392,0.108,0.357
26896,0.4,0.337,0.124,0.139
26897,0.266,0.289,0.088,0.357
26898,0.108,0.382,0.156,0.354
26899,0.139,0.182,0.224,0.455
26900,0.138,0.158,0.317,0.387
26901,0.315,0.179,0.107,0.399
26902,0.428,0.108,0.181,0.283
26903,0.105,0.163,0.358,0.374
26904,0.106,0.129,0.372,0.393
26905,0.114,0.316,0.341,0.229
26906,0.238,0.366,0.148,0.248
26907,0.13,0.259,0.416,0.195
26908,0.284,0.181,0.18,0.355
26909,0.121,0.245,0.405,0.229
26910,0.209,0.404,0.15,0.237
26911,0.366,0.182,0.172,0.28
26912,0.298,0.184,0.243,0.275
26913,0.258,0.195,0.256,0.291
26914,0.257,0.283,0.294,0.166
26915,0.189,0.372,0.258,0.181
26916,0.118,0.505,0.149,0.228
26917,0.301,0.338,0.163,0.198
26918,0.115,0.39,0.269,0.226
26919,0.325,0.24,0.152,0.283
26920,0.142,0.135,0.448,0.275
26921,0.219,0.159,0.362,0.26
26922,0.217,0.153,0.345,0.285
26923,0.146,0.162,0.403,0.289
26924,0.424,0.2,0.151,0.225
26925,0.314,0.191,0.191,0.304
26926,0.282,0.226,0.17,0.322
26927,0.176,0.27,0.173,0.381
26928,0.372,0.181,0.184,0.263
26929,0.251,0.187,0.255,0.307
26930,0.227,0.315,0.169,0.289
26931,0.155,0.179,0.451,0.215
26932,0.469,0.181,0.14,0.21
26933,0.413,0.178,0.171,0.238
26934,0.465,0.175,0.157,0.203
26935,0.208,0.249,0.276,0.267
26936,0.364,0.175,0.173,0.288
26937,0.177,0.368,0.147,0.308
26938,0.111,0.201,0.367,0.321
26939,0.162,0.212,0.328,0.298
26940,0.152,0.216,0.334,0.298
26941,0.245,0.209,0.222,0.324
26942,0.266,0.287,0.154,0.293
26943,0.266,0.18,0.138,0.416
26944,0.102,0.329,0.342,0.227
26945,0.093,0.289,0.416,0.202
26946,0.4,0.132,0.281,0.187
26947,0.118,0.22,0.422,0.24
26948,0.141,0.209,0.301,0.349
26949,0.178,0.372,0.137,0.313
26950,0.242,0.203,0.149,0.406
26951,0.175,0.397,0.234,0.194
26952,0.145,0.411,0.317,0.127
26953,0.09,0.44,0.141,0.329
26954,0.236,0.162,0.149,0.453
26955,0.346,0.152,0.16,0.342
26956,0.104,0.158,0.367,0.371
26957,0.154,0.442,0.097,0.307
26958,0.367,0.135,0.15,0.348
26959,0.144,0.16,0.255,0.441
26960,0.107,0.25,0.457,0.186
26961,0.135,0.297,0.135,0.433
26962,0.127,0.13,0.416,0.327
26963,0.287,0.18,0.263,0.27
26964,0.108,0.441,0.167,0.284
26965,0.108,0.144,0.566,0.182
26966,0.148,0.191,0.183,0.478
26967,0.148,0.221,0.215,0.416
26968,0.473,0.185,0.122,0.22
26969,0.517,0.179,0.144,0.16
26970,0.125,0.187,0.519,0.169
26971,0.199,0.207,0.171,0.423
26972,0.107,0.425,0.156,0.312
26973,0.112,0.284,0.172,0.432
26974,0.221,0.172,0.162,0.445
26975,0.349,0.197,0.155,0.299
26976,0.136,0.18,0.28,0.404
26977,0.276,0.249,0.158,0.317
26978,0.135,0.197,0.199,0.469
26979,0.466,0.169,0.19,0.175
26980,0.112,0.183,0.22,0.485
26981,0.334,0.186,0.272,0.208
26982,0.092,0.603,0.154,0.151
26983,0.206,0.413,0.208,0.173
26984,0.225,0.436,0.119,0.22
26985,0.087,0.575,0.117,0.221
26986,0.582,0.107,0.115,0.196
26987,0.088,0.297,0.388,0.227
26988,0.375,0.16,0.11,0.355
26989,0.191,0.541,0.091,0.177
26990,0.284,0.107,0.107,0.502
26991,0.339,0.094,0.392,0.175
26992,0.489,0.115,0.17,0.226
26993,0.128,0.446,0.096,0.33
26994,0.076,0.15,0.596,0.178
26995,0.117,0.341,0.391,0.151
26996,0.375,0.073,0.368,0.184
26997,0.137,0.551,0.111,0.201
26998,0.227,0.475,0.088,0.21
26999,0.073,0.305,0.41,0.212
27000,0.169,0.105,0.443,0.283
27001,0.16,0.316,0.127,0.397
27002,0.145,0.165,0.534,0.156
27003,0.145,0.192,0.172,0.491
27004,0.092,0.232,0.389,0.287
27005,0.152,0.306,0.134,0.408
27006,0.132,0.161,0.328,0.379
27007,0.121,0.181,0.339,0.359
27008,0.119,0.519,0.114,0.248
27009,0.167,0.148,0.188,0.497
27010,0.086,0.176,0.588,0.15
27011,0.337,0.244,0.107,0.312
27012,0.075,0.34,0.297,0.288
27013,0.138,0.182,0.228,0.452
27014,0.149,0.146,0.418,0.287
27015,0.082,0.232,0.422,0.264
27016,0.152,0.312,0.09,0.446
27017,0.226,0.166,0.19,0.418
27018,0.121,0.185,0.404,0.29
27019,0.175,0.216,0.169,0.44
27020,0.181,0.231,0.139,0.449
27021,0.232,0.458,0.174,0.136
27022,0.18,0.198,0.144,0.478
27023,0.142,0.302,0.141,0.415
27024,0.159,0.174,0.188,0.479
27025,0.541,0.149,0.108,0.202
27026,0.304,0.143,0.142,0.411
27027,0.174,0.484,0.162,0.18
27028,0.52,0.212,0.107,0.161
27029,0.529,0.187,0.092,0.192
27030,0.163,0.219,0.128,0.49
27031,0.233,0.18,0.168,0.419
27032,0.132,0.182,0.262,0.424
27033,0.131,0.153,0.275,0.441
27034,0.219,0.227,0.12,0.434
27035,0.171,0.151,0.169,0.509
27036,0.131,0.221,0.158,0.49
27037,0.161,0.225,0.134,0.48
27038,0.176,0.269,0.246,0.309
27039,0.074,0.24,0.252,0.434
27040,0.197,0.328,0.121,0.354
27041,0.091,0.475,0.212,0.222
27042,0.139,0.09,0.158,0.613
27043,0.189,0.393,0.103,0.315
27044,0.271,0.175,0.182,0.372
27045,0.114,0.26,0.118,0.508
27046,0.277,0.086,0.328,0.309
27047,0.084,0.108,0.33,0.478
27048,0.276,0.228,0.11,0.386
27049,0.087,0.134,0.173,0.606
27050,0.313,0.128,0.096,0.463
27051,0.284,0.097,0.104,0.515
27052,0.086,0.446,0.103,0.365
27053,0.381,0.126,0.138,0.355
27054,0.286,0.157,0.115,0.442
27055,0.098,0.131,0.161,0.61
27056,0.306,0.225,0.09,0.379
27057,0.33,0.267,0.202,0.201
27058,0.087,0.417,0.324,0.172
27059,0.235,0.129,0.443,0.193
27060,0.2,0.33,0.135,0.335
27061,0.085,0.224,0.468,0.223
27062,0.363,0.21,0.114,0.313
27063,0.177,0.341,0.142,0.34
27064,0.237,0.45,0.108,0.205
27065,0.109,0.498,0.115,0.278
27066,0.228,0.205,0.305,0.262
27067,0.092,0.357,0.378,0.173
27068,0.321,0.107,0.169,0.403
27069,0.414,0.13,0.131,0.325
27070,0.096,0.54,0.122,0.242
27071,0.234,0.154,0.378,0.234
27072,0.171,0.128,0.518,0.183
27073,0.333,0.289,0.138,0.24
27074,0.387,0.225,0.128,0.26
27075,0.134,0.322,0.119,0.425
27076,0.15,0.322,0.296,0.232
27077,0.165,0.516,0.092,0.227
27078,0.145,0.222,0.193,0.44
27079,0.131,0.212,0.252,0.405
27080,0.137,0.253,0.16,0.45
27081,0.176,0.331,0.123,0.37
27082,0.122,0.257,0.177,0.444
27083,0.265,0.325,0.144,0.266
27084,0.129,0.093,0.378,0.4
27085,0.119,0.126,0.488,0.267
27086,0.14,0.209,0.206,0.445
27087,0.258,0.15,0.181,0.411
27088,0.245,0.156,0.202,0.397
27089,0.132,0.505,0.088,0.275
27090,0.128,0.389,0.1,0.383
27091,0.134,0.204,0.211,0.451
27092,0.159,0.285,0.119,0.437
27093,0.115,0.472,0.153,0.26
27094,0.118,0.46,0.176,0.246
27095,0.437,0.185,0.123,0.255
27096,0.101,0.229,0.31,0.36
27097,0.102,0.4,0.31,0.188
27098,0.205,0.211,0.434,0.15
27099,0.079,0.273,0.412,0.236
27100,0.507,0.149,0.122,0.222
27101,0.37,0.101,0.219,0.31
27102,0.266,0.395,0.126,0.213
27103,0.362,0.214,0.127,0.297
27104,0.206,0.284,0.149,0.361
27105,0.276,0.14,0.331,0.253
27106,0.227,0.278,0.115,0.38
27107,0.239,0.443,0.136,0.182
27108,0.12,0.231,0.28,0.369
27109,0.088,0.165,0.383,0.364
27110,0.131,0.12,0.408,0.341
27111,0.091,0.144,0.454,0.311
27112,0.111,0.517,0.149,0.223
27113,0.459,0.168,0.188,0.185
27114,0.11,0.122,0.518,0.25
27115,0.423,0.348,0.094,0.135
27116,0.135,0.413,0.232,0.22
27117,0.088,0.321,0.429,0.162
27118,0.333,0.351,0.118,0.198
27119,0.494,0.154,0.116,0.236
27120,0.388,0.156,0.174,0.282
27121,0.569,0.11,0.105,0.216
27122,0.089,0.126,0.611,0.174
27123,0.291,0.136,0.416,0.157
27124,0.241,0.141,0.164,0.454
27125,0.415,0.342,0.083,0.16
27126,0.116,0.366,0.102,0.416
27127,0.212,0.249,0.103,0.436
27128,0.098,0.447,0.14,0.315
27129,0.516,0.149,0.123,0.212
27130,0.099,0.562,0.143,0.196
27131,0.108,0.56,0.11,0.222
27132,0.217,0.172,0.107,0.504
27133,0.117,0.306,0.239,0.338
27134,0.358,0.147,0.124,0.371
27135,0.141,0.165,0.118,0.576
27136,0.106,0.142,0.6,0.152
27137,0.145,0.576,0.1,0.179
27138,0.122,0.121,0.578,0.179
27139,0.331,0.156,0.128,0.385
27140,0.104,0.106,0.313,0.477
27141,0.124,0.446,0.102,0.328
27142,0.074,0.214,0.579,0.133
27143,0.113,0.182,0.23,0.475
27144,0.148,0.425,0.102,0.325
27145,0.127,0.112,0.261,0.5
27146,0.155,0.206,0.133,0.506
27147,0.11,0.218,0.147,0.525
27148,0.104,0.48,0.109,0.307
27149,0.133,0.159,0.137,0.571
27150,0.426,0.126,0.104,0.344
27151,0.103,0.193,0.288,0.416
27152,0.501,0.233,0.135,0.131
27153,0.382,0.166,0.119,0.333
27154,0.089,0.181,0.386,0.344
27155,0.524,0.127,0.214,0.135
27156,0.101,0.122,0.631,0.146
27157,0.315,0.113,0.128,0.444
27158,0.083,0.372,0.35,0.195
27159,0.243,0.101,0.335,0.321
27160,0.1,0.173,0.194,0.533
27161,0.117,0.135,0.439,0.309
27162,0.285,0.145,0.32,0.25
27163,0.115,0.305,0.306,0.274
27164,0.377,0.16,0.141,0.322
27165,0.1,0.108,0.496,0.296
27166,0.308,0.12,0.307,0.265
27167,0.423,0.115,0.182,0.28
27168,0.137,0.099,0.395,0.369
27169,0.096,0.637,0.12,0.147
27170,0.347,0.16,0.182,0.311
27171,0.082,0.156,0.537,0.225
27172,0.289,0.289,0.148,0.274
27173,0.226,0.352,0.161,0.261
27174,0.15,0.346,0.251,0.253
27175,0.267,0.435,0.102,0.196
27176,0.225,0.292,0.279,0.204
27177,0.093,0.085,0.546,0.276
27178,0.237,0.317,0.11,0.336
27179,0.276,0.121,0.152,0.451
27180,0.106,0.112,0.443,0.339
27181,0.285,0.104,0.392,0.219
27182,0.365,0.102,0.104,0.429
27183,0.13,0.127,0.233,0.51
27184,0.185,0.361,0.102,0.352
27185,0.285,0.144,0.152,0.419
27186,0.356,0.14,0.137,0.367
27187,0.113,0.532,0.117,0.238
27188,0.146,0.139,0.165,0.55
