No,Ch1,Ch2,Ch3,Ch4,Result,ANS,Accuracy
18152,0.234,0.202,0.148,0.416,Ch4,Ch1,0
18153,0.133,0.112,0.178,0.577,Ch4,Ch4,1
18154,0.178,0.129,0.167,0.526,Ch4,Ch4,1
18155,0.129,0.139,0.439,0.293,Ch3,Ch3,1
18156,0.115,0.15,0.419,0.316,Ch3,Ch3,1
18157,0.182,0.518,0.087,0.213,Ch2,Ch2,1
18158,0.101,0.284,0.376,0.239,Ch3,Ch3,1
18159,0.174,0.169,0.128,0.529,Ch4,Ch4,1
18160,0.246,0.45,0.088,0.216,Ch2,Ch2,1
18161,0.459,0.112,0.156,0.273,Ch1,Ch1,1
18162,0.262,0.278,0.133,0.327,Ch4,Ch4,1
18163,0.273,0.123,0.229,0.375,Ch4,Ch4,1
18164,0.256,0.242,0.146,0.356,Ch4,Ch2,0
18165,0.237,0.282,0.135,0.346,Ch4,Ch3,0
18166,0.179,0.295,0.158,0.368,Ch4,Ch3,0
18167,0.223,0.309,0.25,0.218,Ch2,Ch1,0
18168,0.355,0.135,0.148,0.362,Ch4,Ch1,0
18169,0.301,0.313,0.121,0.265,Ch2,Ch2,1
18170,0.154,0.465,0.138,0.243,Ch2,Ch2,1
18171,0.227,0.198,0.192,0.383,Ch4,Ch2,0
18172,0.319,0.128,0.154,0.399,Ch4,Ch1,0
18173,0.291,0.242,0.128,0.339,Ch4,Ch2,0
18174,0.217,0.118,0.225,0.44,Ch4,Ch1,0
18175,0.242,0.412,0.093,0.253,Ch2,Ch2,1
18176,0.121,0.45,0.106,0.323,Ch2,Ch2,1
18177,0.266,0.12,0.144,0.47,Ch4,Ch1,0
18178,0.248,0.214,0.177,0.361,Ch4,Ch2,0
18179,0.122,0.136,0.432,0.31,Ch3,Ch3,1
18180,0.192,0.454,0.097,0.257,Ch2,Ch1,0
18181,0.162,0.15,0.237,0.451,Ch4,Ch3,0
18182,0.141,0.282,0.136,0.441,Ch4,Ch2,0
18183,0.122,0.295,0.134,0.449,Ch4,Ch2,0
18184,0.14,0.253,0.311,0.296,Ch3,Ch2,0
18185,0.129,0.419,0.185,0.267,Ch2,Ch2,1
18186,0.101,0.44,0.227,0.232,Ch2,Ch4,0
18187,0.133,0.124,0.382,0.361,Ch3,Ch4,0
18188,0.133,0.124,0.485,0.258,Ch3,Ch3,1
18189,0.429,0.133,0.157,0.281,Ch1,Ch4,0
18190,0.174,0.146,0.184,0.496,Ch4,Ch4,1
18191,0.099,0.344,0.272,0.285,Ch2,Ch4,0
18192,0.377,0.118,0.144,0.361,Ch1,Ch4,0
18193,0.16,0.145,0.181,0.514,Ch4,Ch4,1
18194,0.115,0.127,0.447,0.311,Ch3,Ch4,0
18195,0.399,0.141,0.167,0.293,Ch1,Ch4,0
18196,0.382,0.152,0.133,0.333,Ch1,Ch4,0
18197,0.29,0.149,0.31,0.251,Ch3,Ch4,0
18198,0.191,0.192,0.158,0.459,Ch4,Ch4,1
18199,0.169,0.134,0.374,0.323,Ch3,Ch3,1
18200,0.187,0.421,0.111,0.281,Ch2,Ch4,0
18201,0.111,0.263,0.271,0.355,Ch4,Ch4,1
18202,0.201,0.134,0.382,0.283,Ch3,Ch4,0
18203,0.214,0.212,0.332,0.242,Ch3,Ch1,0
18204,0.066,0.472,0.214,0.248,Ch2,Ch2,1
18205,0.307,0.277,0.141,0.275,Ch1,Ch2,0
18206,0.217,0.269,0.182,0.332,Ch4,Ch2,0
18207,0.113,0.354,0.344,0.189,Ch2,Ch2,1
18208,0.246,0.232,0.361,0.161,Ch3,Ch1,0
18209,0.345,0.252,0.104,0.299,Ch1,Ch2,0
18210,0.293,0.205,0.248,0.254,Ch1,Ch1,1
18211,0.333,0.146,0.261,0.26,Ch1,Ch3,0
18212,0.421,0.193,0.172,0.214,Ch1,Ch3,0
18213,0.117,0.203,0.2,0.48,Ch4,Ch2,0
18214,0.176,0.432,0.091,0.301,Ch2,Ch2,1
18215,0.312,0.325,0.08,0.283,Ch2,Ch3,0
18216,0.083,0.512,0.186,0.219,Ch2,Ch3,0
18217,0.08,0.351,0.088,0.481,Ch4,Ch2,0
18218,0.106,0.341,0.347,0.206,Ch3,Ch2,0
18219,0.107,0.112,0.256,0.525,Ch4,Ch2,0
18220,0.452,0.191,0.102,0.255,Ch1,Ch2,0
18221,0.114,0.231,0.429,0.226,Ch3,Ch2,0
18222,0.128,0.428,0.182,0.262,Ch2,Ch4,0
18223,0.156,0.251,0.416,0.177,Ch3,Ch4,0
18224,0.194,0.269,0.323,0.214,Ch3,Ch3,1
18225,0.402,0.214,0.19,0.194,Ch1,Ch4,0
18226,0.391,0.206,0.21,0.193,Ch1,Ch4,0
18227,0.225,0.155,0.231,0.389,Ch4,Ch4,1
18228,0.13,0.308,0.343,0.219,Ch3,Ch4,0
18229,0.185,0.25,0.149,0.416,Ch4,Ch4,1
18230,0.291,0.158,0.152,0.399,Ch4,Ch4,1
18231,0.204,0.426,0.138,0.232,Ch2,Ch4,0
18232,0.218,0.182,0.147,0.453,Ch4,Ch4,1
18233,0.142,0.185,0.421,0.252,Ch3,Ch4,0
18234,0.129,0.231,0.229,0.411,Ch4,Ch4,1
18235,0.145,0.191,0.41,0.254,Ch3,Ch4,0
18236,0.178,0.162,0.203,0.457,Ch4,Ch4,1
18237,0.192,0.427,0.198,0.183,Ch2,Ch4,0
18238,0.172,0.236,0.15,0.442,Ch4,Ch4,1
18239,0.159,0.164,0.161,0.516,Ch4,Ch4,1
18240,0.153,0.207,0.429,0.211,Ch3,Ch4,0
18241,0.293,0.426,0.098,0.183,Ch2,Ch4,0
18242,0.329,0.108,0.373,0.19,Ch3,Ch4,0
18243,0.099,0.151,0.463,0.287,Ch3,Ch4,0
18244,0.239,0.128,0.343,0.29,Ch3,Ch4,0
18245,0.106,0.346,0.229,0.319,Ch2,Ch4,0
18246,0.204,0.266,0.348,0.182,Ch3,Ch3,1
18247,0.112,0.314,0.162,0.412,Ch4,Ch4,1
18248,0.095,0.112,0.517,0.276,Ch3,Ch4,0
18249,0.215,0.308,0.179,0.298,Ch2,Ch4,0
18250,0.304,0.45,0.109,0.137,Ch2,Ch4,0
18251,0.119,0.162,0.463,0.256,Ch3,Ch4,0
18252,0.183,0.44,0.186,0.191,Ch2,Ch2,1
18253,0.243,0.363,0.113,0.281,Ch2,Ch4,0
18254,0.197,0.386,0.112,0.305,Ch2,Ch4,0
18255,0.08,0.434,0.169,0.317,Ch2,Ch4,0
18256,0.108,0.392,0.112,0.388,Ch2,Ch4,0
18257,0.109,0.229,0.125,0.537,Ch4,Ch4,1
18258,0.106,0.586,0.112,0.196,Ch2,Ch4,0
18259,0.436,0.207,0.189,0.168,Ch1,Ch4,0
18260,0.432,0.166,0.274,0.128,Ch1,Ch1,1
18261,0.341,0.268,0.102,0.289,Ch1,Ch1,1
18262,0.11,0.336,0.1,0.454,Ch4,Ch2,0
18263,0.296,0.118,0.262,0.324,Ch4,Ch4,1
18264,0.203,0.174,0.454,0.169,Ch3,Ch3,1
18265,0.197,0.191,0.317,0.295,Ch3,Ch3,1
18266,0.201,0.133,0.253,0.413,Ch4,Ch4,1
18267,0.411,0.133,0.216,0.24,Ch1,Ch1,1
18268,0.51,0.12,0.106,0.264,Ch1,Ch4,0
18269,0.244,0.134,0.135,0.487,Ch4,Ch4,1
18270,0.235,0.511,0.081,0.173,Ch2,Ch2,1
18271,0.229,0.122,0.144,0.505,Ch4,Ch4,1
18272,0.213,0.124,0.182,0.481,Ch4,Ch4,1
18273,0.345,0.231,0.21,0.214,Ch1,Ch2,0
18274,0.383,0.195,0.267,0.155,Ch1,Ch1,1
18275,0.157,0.319,0.126,0.398,Ch4,Ch4,1
18276,0.213,0.394,0.099,0.294,Ch2,Ch4,0
18277,0.312,0.233,0.167,0.288,Ch1,Ch1,1
18278,0.235,0.131,0.183,0.451,Ch4,Ch4,1
18279,0.299,0.202,0.276,0.223,Ch1,Ch1,1
18280,0.288,0.267,0.184,0.261,Ch1,Ch1,1
18281,0.248,0.333,0.176,0.243,Ch2,Ch2,1
18282,0.166,0.18,0.422,0.232,Ch3,Ch3,1
18283,0.159,0.209,0.301,0.331,Ch4,Ch2,0
18284,0.154,0.291,0.4,0.155,Ch3,Ch3,1
18285,0.128,0.335,0.262,0.275,Ch2,Ch2,1
18286,0.138,0.369,0.254,0.239,Ch2,Ch2,1
18287,0.232,0.256,0.204,0.308,Ch4,Ch1,0
18288,0.25,0.174,0.258,0.318,Ch4,Ch3,0
18289,0.432,0.166,0.163,0.239,Ch1,Ch1,1
18290,0.274,0.32,0.214,0.192,Ch2,Ch1,0
18291,0.164,0.177,0.266,0.393,Ch4,Ch4,1
18292,0.246,0.296,0.256,0.202,Ch2,Ch2,1
18293,0.367,0.231,0.173,0.229,Ch1,Ch1,1
18294,0.252,0.255,0.254,0.239,Ch2,Ch3,0
18295,0.131,0.255,0.367,0.247,Ch3,Ch3,1
18296,0.184,0.249,0.225,0.342,Ch4,Ch1,0
18297,0.454,0.139,0.118,0.289,Ch1,Ch1,1
18298,0.293,0.112,0.203,0.392,Ch4,Ch4,1
18299,0.172,0.146,0.256,0.426,Ch4,Ch4,1
18300,0.37,0.228,0.129,0.273,Ch1,Ch4,0
18301,0.165,0.331,0.179,0.325,Ch2,Ch3,0
18302,0.161,0.193,0.351,0.295,Ch3,Ch3,1
18303,0.243,0.37,0.084,0.303,Ch2,Ch4,0
18304,0.175,0.289,0.138,0.398,Ch4,Ch4,1
18305,0.26,0.149,0.365,0.226,Ch3,Ch3,1
18306,0.19,0.13,0.39,0.29,Ch3,Ch3,1
18307,0.419,0.161,0.164,0.256,Ch1,Ch4,0
18308,0.149,0.398,0.12,0.333,Ch2,Ch4,0
18309,0.154,0.339,0.204,0.303,Ch2,Ch4,0
18310,0.155,0.183,0.222,0.44,Ch4,Ch4,1
18311,0.241,0.417,0.112,0.23,Ch2,Ch4,0
18312,0.252,0.217,0.193,0.338,Ch4,Ch4,1
18313,0.119,0.39,0.196,0.295,Ch2,Ch4,0
18314,0.173,0.259,0.145,0.423,Ch4,Ch4,1
18315,0.194,0.232,0.158,0.416,Ch4,Ch4,1
18316,0.19,0.171,0.23,0.409,Ch4,Ch4,1
18317,0.229,0.231,0.131,0.409,Ch4,Ch1,0
18318,0.136,0.254,0.25,0.36,Ch4,Ch3,0
18319,0.146,0.344,0.149,0.361,Ch4,Ch2,0
18320,0.214,0.196,0.23,0.36,Ch4,Ch2,0
18321,0.091,0.128,0.412,0.369,Ch3,Ch3,1
18322,0.103,0.296,0.25,0.351,Ch4,Ch3,0
18323,0.225,0.104,0.341,0.33,Ch3,Ch3,1
18324,0.108,0.338,0.223,0.331,Ch2,Ch3,0
18325,0.094,0.258,0.424,0.224,Ch3,Ch3,1
18326,0.109,0.136,0.396,0.359,Ch3,Ch3,1
18327,0.115,0.07,0.432,0.383,Ch3,Ch3,1
18328,0.197,0.098,0.3,0.405,Ch4,Ch1,0
18329,0.401,0.092,0.122,0.385,Ch1,Ch1,1
18330,0.106,0.362,0.131,0.401,Ch4,Ch2,0
18331,0.223,0.089,0.459,0.229,Ch3,Ch3,1
18332,0.139,0.105,0.408,0.348,Ch3,Ch3,1
18333,0.22,0.107,0.128,0.545,Ch4,Ch4,1
18334,0.055,0.426,0.284,0.235,Ch2,Ch3,0
18335,0.075,0.512,0.082,0.331,Ch2,Ch2,1
18336,0.134,0.47,0.152,0.244,Ch2,Ch2,1
18337,0.153,0.245,0.194,0.408,Ch4,Ch4,1
18338,0.277,0.216,0.164,0.343,Ch4,Ch1,0
18339,0.305,0.173,0.147,0.375,Ch4,Ch4,1
18340,0.14,0.35,0.301,0.209,Ch2,Ch4,0
18341,0.134,0.326,0.113,0.427,Ch4,Ch4,1
18342,0.16,0.34,0.098,0.402,Ch4,Ch4,1
18343,0.1,0.517,0.158,0.225,Ch2,Ch4,0
18344,0.101,0.314,0.301,0.284,Ch2,Ch4,0
18345,0.081,0.598,0.075,0.246,Ch2,Ch4,0
18346,0.095,0.432,0.203,0.27,Ch2,Ch3,0
18347,0.192,0.293,0.088,0.427,Ch4,Ch4,1
18348,0.081,0.312,0.35,0.257,Ch3,Ch3,1
18349,0.146,0.108,0.444,0.302,Ch3,Ch4,0
18350,0.354,0.077,0.114,0.455,Ch4,Ch1,0
18351,0.372,0.193,0.096,0.339,Ch1,Ch4,0
18352,0.408,0.125,0.149,0.318,Ch1,Ch2,0
18353,0.13,0.527,0.071,0.272,Ch2,Ch4,0
18354,0.344,0.296,0.091,0.269,Ch1,Ch4,0
18355,0.174,0.179,0.399,0.248,Ch3,Ch2,0
18356,0.298,0.181,0.185,0.336,Ch4,Ch3,0
18357,0.181,0.361,0.197,0.261,Ch2,Ch3,0
18358,0.24,0.361,0.109,0.29,Ch2,Ch1,0
18359,0.12,0.294,0.16,0.426,Ch4,Ch3,0
18360,0.173,0.173,0.114,0.54,Ch4,Ch2,0
18361,0.212,0.127,0.305,0.356,Ch4,Ch3,0
18362,0.149,0.149,0.282,0.42,Ch4,Ch1,0
18363,0.2,0.18,0.103,0.517,Ch4,Ch1,0
18364,0.298,0.17,0.152,0.38,Ch4,Ch4,1
18365,0.182,0.129,0.162,0.527,Ch4,Ch1,0
18366,0.217,0.103,0.397,0.283,Ch3,Ch1,0
18367,0.291,0.122,0.23,0.357,Ch4,Ch1,0
18368,0.281,0.115,0.118,0.486,Ch4,Ch1,0
18369,0.098,0.293,0.305,0.304,Ch3,Ch3,1
18370,0.102,0.206,0.116,0.576,Ch4,Ch2,0
18371,0.225,0.118,0.121,0.536,Ch4,Ch1,0
18372,0.125,0.239,0.349,0.287,Ch3,Ch3,1
18373,0.27,0.167,0.151,0.412,Ch4,Ch2,0
18374,0.181,0.291,0.16,0.368,Ch4,Ch2,0
18375,0.141,0.23,0.395,0.234,Ch3,Ch3,1
18376,0.236,0.346,0.091,0.327,Ch2,Ch1,0
18377,0.161,0.254,0.159,0.426,Ch4,Ch1,0
18378,0.146,0.159,0.324,0.371,Ch4,Ch3,0
18379,0.348,0.193,0.133,0.326,Ch1,Ch1,1
18380,0.33,0.143,0.27,0.257,Ch1,Ch3,0
18381,0.313,0.217,0.116,0.354,Ch4,Ch1,0
18382,0.106,0.258,0.285,0.351,Ch4,Ch2,0
18383,0.355,0.202,0.131,0.312,Ch1,Ch1,1
18384,0.138,0.185,0.341,0.336,Ch3,Ch3,1
18385,0.14,0.155,0.398,0.307,Ch3,Ch3,1
18386,0.181,0.182,0.161,0.476,Ch4,Ch1,0
18387,0.111,0.299,0.159,0.431,Ch4,Ch2,0
18388,0.099,0.247,0.361,0.293,Ch3,Ch2,0
18389,0.19,0.37,0.118,0.322,Ch2,Ch2,1
18390,0.386,0.167,0.108,0.339,Ch1,Ch1,1
18391,0.183,0.312,0.119,0.386,Ch4,Ch2,0
18392,0.109,0.222,0.379,0.29,Ch3,Ch3,1
18393,0.193,0.14,0.376,0.291,Ch3,Ch4,0
18394,0.314,0.152,0.163,0.371,Ch4,Ch4,1
18395,0.126,0.339,0.225,0.31,Ch2,Ch4,0
18396,0.13,0.328,0.138,0.404,Ch4,Ch4,1
18397,0.203,0.246,0.127,0.424,Ch4,Ch4,1
18398,0.182,0.218,0.141,0.459,Ch4,Ch4,1
18399,0.18,0.297,0.105,0.418,Ch4,Ch4,1
18400,0.108,0.305,0.171,0.416,Ch4,Ch4,1
18401,0.09,0.25,0.339,0.321,Ch3,Ch4,0
18402,0.126,0.11,0.325,0.439,Ch4,Ch4,1
18403,0.133,0.153,0.39,0.324,Ch3,Ch4,0
18404,0.236,0.125,0.305,0.334,Ch4,Ch4,1
18405,0.123,0.474,0.113,0.29,Ch2,Ch4,0
18406,0.105,0.443,0.109,0.343,Ch2,Ch4,0
18407,0.107,0.293,0.22,0.38,Ch4,Ch4,1
18408,0.118,0.327,0.371,0.184,Ch3,Ch4,0
18409,0.182,0.127,0.303,0.388,Ch4,Ch4,1
18410,0.086,0.29,0.225,0.399,Ch4,Ch4,1
18411,0.265,0.14,0.129,0.466,Ch4,Ch4,1
18412,0.14,0.517,0.192,0.151,Ch2,Ch2,1
18413,0.122,0.2,0.388,0.29,Ch3,Ch4,0
18414,0.293,0.185,0.145,0.377,Ch4,Ch4,1
18415,0.48,0.142,0.11,0.268,Ch1,Ch1,1
18416,0.402,0.181,0.19,0.227,Ch1,Ch4,0
18417,0.29,0.196,0.251,0.263,Ch1,Ch4,0
18418,0.407,0.166,0.14,0.287,Ch1,Ch4,0
18419,0.179,0.36,0.104,0.357,Ch2,Ch4,0
18420,0.317,0.138,0.272,0.273,Ch1,Ch4,0
18421,0.384,0.219,0.218,0.179,Ch1,Ch4,0
18422,0.127,0.362,0.136,0.375,Ch4,Ch4,1
18423,0.115,0.513,0.137,0.235,Ch2,Ch2,1
18424,0.356,0.133,0.133,0.378,Ch4,Ch1,0
18425,0.098,0.586,0.103,0.213,Ch2,Ch2,1
18426,0.194,0.15,0.344,0.312,Ch3,Ch3,1
18427,0.183,0.138,0.396,0.283,Ch3,Ch4,0
18428,0.156,0.136,0.256,0.452,Ch4,Ch4,1
18429,0.169,0.347,0.143,0.341,Ch2,Ch2,1
18430,0.121,0.139,0.362,0.378,Ch4,Ch4,1
18431,0.219,0.21,0.161,0.41,Ch4,Ch2,0
18432,0.211,0.216,0.168,0.405,Ch4,Ch2,0
18433,0.248,0.183,0.248,0.321,Ch4,Ch3,0
18434,0.349,0.21,0.124,0.317,Ch1,Ch3,0
18435,0.122,0.272,0.327,0.279,Ch3,Ch2,0
18436,0.114,0.186,0.319,0.381,Ch4,Ch3,0
18437,0.159,0.363,0.174,0.304,Ch2,Ch2,1
18438,0.096,0.207,0.395,0.302,Ch3,Ch2,0
18439,0.144,0.143,0.342,0.371,Ch4,Ch3,0
18440,0.128,0.318,0.228,0.326,Ch4,Ch4,1
18441,0.135,0.441,0.132,0.292,Ch2,Ch1,0
18442,0.225,0.28,0.12,0.375,Ch4,Ch1,0
18443,0.153,0.129,0.377,0.341,Ch3,Ch3,1
18444,0.152,0.39,0.202,0.256,Ch2,Ch3,0
18445,0.216,0.191,0.182,0.411,Ch4,Ch3,0
18446,0.183,0.196,0.153,0.468,Ch4,Ch4,1
18447,0.144,0.193,0.181,0.482,Ch4,Ch3,0
18448,0.125,0.204,0.36,0.311,Ch3,Ch2,0
18449,0.283,0.156,0.163,0.398,Ch4,Ch4,1
18450,0.138,0.279,0.26,0.323,Ch4,Ch2,0
18451,0.129,0.412,0.134,0.325,Ch2,Ch3,0
18452,0.094,0.392,0.253,0.261,Ch2,Ch3,0
18453,0.146,0.297,0.164,0.393,Ch4,Ch2,0
18454,0.224,0.209,0.293,0.274,Ch3,Ch2,0
18455,0.143,0.218,0.211,0.428,Ch4,Ch1,0
18456,0.239,0.251,0.15,0.36,Ch4,Ch3,0
18457,0.226,0.216,0.201,0.357,Ch4,Ch3,0
18458,0.287,0.241,0.11,0.362,Ch4,Ch1,0
18459,0.098,0.121,0.337,0.444,Ch4,Ch3,0
18460,0.209,0.303,0.132,0.356,Ch4,Ch2,0
18461,0.248,0.296,0.245,0.211,Ch2,Ch2,1
18462,0.191,0.242,0.325,0.242,Ch3,Ch1,0
18463,0.136,0.259,0.257,0.348,Ch4,Ch3,0
18464,0.176,0.106,0.304,0.414,Ch4,Ch1,0
18465,0.101,0.254,0.358,0.287,Ch3,Ch2,0
18466,0.128,0.207,0.317,0.348,Ch4,Ch2,0
18467,0.152,0.253,0.163,0.432,Ch4,Ch1,0
18468,0.191,0.372,0.094,0.343,Ch2,Ch1,0
18469,0.185,0.196,0.184,0.435,Ch4,Ch1,0
18470,0.207,0.324,0.142,0.327,Ch4,Ch2,0
18471,0.144,0.244,0.354,0.258,Ch3,Ch1,0
18472,0.177,0.161,0.439,0.223,Ch3,Ch3,1
18473,0.243,0.194,0.202,0.361,Ch4,Ch2,0
18474,0.143,0.323,0.158,0.376,Ch4,Ch1,0
18475,0.194,0.173,0.135,0.498,Ch4,Ch3,0
18476,0.213,0.376,0.119,0.292,Ch2,Ch1,0
18477,0.205,0.219,0.153,0.423,Ch4,Ch3,0
18478,0.325,0.19,0.26,0.225,Ch1,Ch2,0
18479,0.136,0.206,0.363,0.295,Ch3,Ch3,1
18480,0.164,0.401,0.161,0.274,Ch2,Ch1,0
18481,0.156,0.159,0.186,0.499,Ch4,Ch3,0
18482,0.178,0.382,0.151,0.289,Ch2,Ch2,1
18483,0.154,0.236,0.345,0.265,Ch3,Ch2,0
18484,0.133,0.322,0.133,0.412,Ch4,Ch3,0
18485,0.142,0.167,0.281,0.41,Ch4,Ch2,0
18486,0.131,0.221,0.376,0.272,Ch3,Ch3,1
18487,0.21,0.151,0.367,0.272,Ch3,Ch2,0
18488,0.092,0.396,0.143,0.369,Ch2,Ch4,0
18489,0.24,0.451,0.091,0.218,Ch2,Ch4,0
18490,0.159,0.273,0.097,0.471,Ch4,Ch4,1
18491,0.105,0.167,0.394,0.334,Ch3,Ch3,1
18492,0.253,0.167,0.363,0.217,Ch3,Ch4,0
18493,0.093,0.289,0.239,0.379,Ch4,Ch2,0
18494,0.255,0.242,0.087,0.416,Ch4,Ch4,1
18495,0.116,0.085,0.433,0.366,Ch3,Ch3,1
18496,0.442,0.099,0.108,0.351,Ch1,Ch4,0
18497,0.247,0.166,0.113,0.474,Ch4,Ch4,1
18498,0.438,0.123,0.124,0.315,Ch1,Ch4,0
18499,0.296,0.114,0.266,0.324,Ch4,Ch4,1
18500,0.129,0.114,0.244,0.513,Ch4,Ch4,1
18501,0.138,0.13,0.287,0.445,Ch4,Ch4,1
18502,0.308,0.163,0.092,0.437,Ch4,Ch4,1
18503,0.389,0.252,0.077,0.282,Ch1,Ch1,1
18504,0.15,0.111,0.229,0.51,Ch4,Ch4,1
18505,0.098,0.116,0.457,0.329,Ch3,Ch4,0
18506,0.113,0.292,0.118,0.477,Ch4,Ch4,1
18507,0.216,0.164,0.381,0.239,Ch3,Ch3,1
18508,0.141,0.272,0.312,0.275,Ch3,Ch2,0
18509,0.136,0.419,0.301,0.144,Ch2,Ch1,0
18510,0.183,0.188,0.339,0.29,Ch3,Ch2,0
18511,0.161,0.175,0.512,0.152,Ch3,Ch1,0
18512,0.144,0.161,0.333,0.362,Ch4,Ch3,0
18513,0.123,0.234,0.321,0.322,Ch4,Ch3,0
18514,0.142,0.228,0.466,0.164,Ch3,Ch2,0
18515,0.157,0.298,0.369,0.176,Ch3,Ch3,1
18516,0.247,0.089,0.448,0.216,Ch3,Ch1,0
18517,0.281,0.116,0.319,0.284,Ch3,Ch3,1
18518,0.104,0.175,0.343,0.378,Ch4,Ch3,0
18519,0.114,0.317,0.402,0.167,Ch3,Ch2,0
18520,0.14,0.184,0.317,0.359,Ch4,Ch3,0
18521,0.168,0.178,0.275,0.379,Ch4,Ch1,0
18522,0.326,0.129,0.339,0.206,Ch3,Ch3,1
18523,0.19,0.351,0.11,0.349,Ch2,Ch2,1
18524,0.273,0.342,0.096,0.289,Ch2,Ch2,1
18525,0.172,0.34,0.149,0.339,Ch2,Ch2,1
18526,0.38,0.14,0.245,0.235,Ch1,Ch1,1
18527,0.108,0.34,0.24,0.312,Ch2,Ch2,1
18528,0.296,0.183,0.183,0.338,Ch4,Ch1,0
18529,0.106,0.384,0.249,0.261,Ch2,Ch2,1
18530,0.289,0.161,0.146,0.404,Ch4,Ch2,0
18531,0.105,0.11,0.52,0.265,Ch3,Ch3,1
18532,0.302,0.115,0.176,0.407,Ch4,Ch4,1
18533,0.094,0.291,0.308,0.307,Ch3,Ch2,0
18534,0.106,0.218,0.372,0.304,Ch3,Ch3,1
18535,0.096,0.219,0.307,0.378,Ch4,Ch4,1
18536,0.274,0.208,0.149,0.369,Ch4,Ch4,1
18537,0.165,0.246,0.255,0.334,Ch4,Ch4,1
18538,0.276,0.222,0.092,0.41,Ch4,Ch2,0
18539,0.093,0.213,0.273,0.421,Ch4,Ch4,1
18540,0.208,0.212,0.124,0.456,Ch4,Ch2,0
18541,0.111,0.199,0.15,0.54,Ch4,Ch4,1
18542,0.35,0.169,0.204,0.277,Ch1,Ch1,1
18543,0.338,0.278,0.103,0.281,Ch1,Ch4,0
18544,0.098,0.467,0.103,0.332,Ch2,Ch4,0
18545,0.235,0.32,0.193,0.252,Ch2,Ch2,1
18546,0.134,0.182,0.489,0.195,Ch3,Ch4,0
18547,0.254,0.2,0.387,0.159,Ch3,Ch1,0
18548,0.218,0.177,0.454,0.151,Ch3,Ch4,0
18549,0.173,0.228,0.343,0.256,Ch3,Ch4,0
18550,0.133,0.253,0.256,0.358,Ch4,Ch4,1
18551,0.106,0.391,0.131,0.372,Ch2,Ch4,0
18552,0.189,0.407,0.225,0.179,Ch2,Ch4,0
18553,0.147,0.144,0.463,0.246,Ch3,Ch3,1
18554,0.495,0.148,0.167,0.19,Ch1,Ch1,1
18555,0.068,0.516,0.217,0.199,Ch2,Ch2,1
18556,0.093,0.173,0.56,0.174,Ch3,Ch3,1
18557,0.132,0.123,0.439,0.306,Ch3,Ch3,1
18558,0.16,0.157,0.315,0.368,Ch4,Ch4,1
18559,0.118,0.544,0.125,0.213,Ch2,Ch2,1
18560,0.153,0.277,0.177,0.393,Ch4,Ch4,1
18561,0.198,0.12,0.309,0.373,Ch4,Ch4,1
18562,0.444,0.147,0.21,0.199,Ch1,Ch4,0
18563,0.263,0.198,0.189,0.35,Ch4,Ch1,0
18564,0.283,0.279,0.15,0.288,Ch4,Ch4,1
18565,0.227,0.11,0.362,0.301,Ch3,Ch4,0
18566,0.075,0.334,0.309,0.282,Ch2,Ch3,0
18567,0.178,0.511,0.077,0.234,Ch2,Ch2,1
18568,0.318,0.377,0.151,0.154,Ch2,Ch1,0
18569,0.074,0.35,0.409,0.167,Ch3,Ch3,1
18570,0.134,0.142,0.166,0.558,Ch4,Ch4,1
18571,0.207,0.154,0.458,0.181,Ch3,Ch1,0
18572,0.08,0.237,0.378,0.305,Ch3,Ch4,0
18573,0.286,0.09,0.445,0.179,Ch3,Ch3,1
18574,0.284,0.138,0.376,0.202,Ch3,Ch4,0
18575,0.07,0.367,0.177,0.386,Ch4,Ch3,0
18576,0.234,0.403,0.104,0.259,Ch2,Ch2,1
18577,0.077,0.495,0.099,0.329,Ch2,Ch2,1
18578,0.234,0.083,0.08,0.603,Ch4,Ch4,1
18579,0.185,0.081,0.282,0.452,Ch4,Ch4,1
18580,0.235,0.475,0.16,0.13,Ch2,Ch2,1
18581,0.091,0.081,0.366,0.462,Ch4,Ch4,1
18582,0.353,0.067,0.419,0.161,Ch3,Ch1,0
18583,0.255,0.251,0.122,0.372,Ch4,Ch4,1
18584,0.093,0.277,0.392,0.238,Ch3,Ch2,0
18585,0.122,0.242,0.392,0.244,Ch3,Ch3,1
18586,0.302,0.132,0.245,0.321,Ch4,Ch1,0
18587,0.099,0.276,0.369,0.256,Ch3,Ch3,1
18588,0.112,0.152,0.25,0.486,Ch4,Ch4,1
18589,0.229,0.395,0.107,0.269,Ch2,Ch4,0
18590,0.21,0.142,0.128,0.52,Ch4,Ch1,0
18591,0.162,0.496,0.14,0.202,Ch2,Ch3,0
18592,0.109,0.484,0.213,0.194,Ch2,Ch3,0
18593,0.093,0.41,0.114,0.383,Ch2,Ch4,0
18594,0.199,0.156,0.129,0.516,Ch4,Ch4,1
18595,0.265,0.138,0.147,0.45,Ch4,Ch1,0
18596,0.105,0.115,0.345,0.435,Ch4,Ch3,0
18597,0.117,0.472,0.08,0.331,Ch2,Ch4,0
18598,0.346,0.118,0.11,0.426,Ch4,Ch1,0
18599,0.094,0.113,0.286,0.507,Ch4,Ch4,1
18600,0.063,0.264,0.339,0.334,Ch3,Ch3,1
18601,0.118,0.412,0.113,0.357,Ch2,Ch4,0
