Task,Ch1,Ch2,Ch3,Ch4,test,,Ch1,Ch2,Ch3,Ch4,,
19,0.164,0.424,0.2,0.212,Ch2,,0,1,0,0,Ch2,1
5,0.42,0.214,0.198,0.168,Ch1,,1,0,0,0,Ch1,1
5,0.354,0.242,0.204,0.2,Ch1,,1,0,0,0,Ch1,1
5,0.442,0.178,0.29,0.09,Ch1,,1,0,0,0,Ch1,1
7,0.494,0.192,0.226,0.088,Ch1,,0,1,0,0,Ch2,0
8,0.484,0.206,0.152,0.158,Ch1,,1,0,0,0,Ch1,1
14,0.388,0.232,0.204,0.176,Ch1,,1,0,0,0,Ch1,1
14,0.356,0.272,0.19,0.182,Ch1,,1,0,0,0,Ch1,1
15,0.134,0.558,0.174,0.134,Ch2,,0,1,0,0,Ch2,1
16,0.516,0.168,0.16,0.156,Ch1,,1,0,0,0,Ch1,1
16,0.362,0.286,0.24,0.112,Ch1,,1,0,0,0,Ch1,1
17,0.144,0.194,0.51,0.152,Ch3,,0,0,1,0,Ch3,1
18,0.152,0.502,0.216,0.13,Ch2,,0,1,0,0,Ch2,1
18,0.382,0.24,0.266,0.112,Ch1,,0,1,0,0,Ch2,0
2,0.15,0.212,0.496,0.142,Ch3,,0,0,1,0,Ch3,1
3,0.168,0.534,0.174,0.124,Ch2,,0,1,0,0,Ch2,1
3,0.408,0.152,0.344,0.096,Ch1,,0,1,0,0,Ch2,0
4,0.332,0.334,0.18,0.154,Ch2,,1,0,0,0,Ch1,0
4,0.514,0.206,0.126,0.154,Ch1,,1,0,0,0,Ch1,1
7,0.546,0.184,0.032,0.238,Ch1,,0,1,0,0,Ch2,0
9,0.488,0.212,0.144,0.156,Ch1,,1,0,0,0,Ch1,1
10,0.552,0.18,0.112,0.156,Ch1,,1,0,0,0,Ch1,1
11,0.208,0.48,0.178,0.134,Ch2,,0,1,0,0,Ch2,1
12,0.602,0.24,0.022,0.136,Ch1,,0,0,1,0,Ch3,0
13,0.444,0.232,0.188,0.136,Ch1,,1,0,0,0,Ch1,1
14,0.456,0.264,0.142,0.138,Ch1,,1,0,0,0,Ch1,1
15,0.11,0.63,0.128,0.132,Ch2,,0,1,0,0,Ch2,1
16,0.262,0.394,0.154,0.19,Ch2,,0,1,0,0,Ch2,1
18,0.244,0.244,0.026,0.486,Ch4,,0,1,0,0,Ch2,0
19,0.232,0.232,0.154,0.382,Ch4,,0,0,0,1,Ch4,1
19,0.29,0.148,0.138,0.424,Ch4,,0,0,0,1,Ch4,1
3,0.47,0.218,0.204,0.108,Ch1,,1,0,0,0,Ch1,1
5,0.418,0.194,0.232,0.156,Ch1,,1,0,0,0,Ch1,1
5,0.482,0.17,0.192,0.156,Ch1,,1,0,0,0,Ch1,1
6,0.59,0.168,0.128,0.114,Ch1,,1,0,0,0,Ch1,1
7,0.43,0.094,0.178,0.298,Ch1,,1,0,0,0,Ch1,1
8,0.192,0.146,0.184,0.478,Ch4,,0,0,0,1,Ch4,1
9,0.212,0.16,0.44,0.188,Ch3,,0,0,1,0,Ch3,1
10,0.192,0.118,0.164,0.526,Ch4,,0,0,0,1,Ch4,1
14,0.252,0.18,0.236,0.332,Ch4,,0,0,1,0,Ch3,0
14,0.274,0.166,0.24,0.32,Ch4,,0,0,1,0,Ch3,0
14,0.272,0.186,0.304,0.238,Ch3,,0,0,1,0,Ch3,1
15,0.184,0.132,0.12,0.564,Ch4,,0,0,0,1,Ch4,1
18,0.454,0.184,0.184,0.178,Ch1,,1,0,0,0,Ch1,1
1,0.186,0.164,0.508,0.142,Ch3,,0,0,1,0,Ch3,1
2,0.168,0.498,0.152,0.182,Ch2,,0,1,0,0,Ch2,1
3,0.33,0.372,0.182,0.116,Ch2,,1,0,0,0,Ch1,0
4,0.412,0.23,0.174,0.184,Ch1,,1,0,0,0,Ch1,1
5,0.134,0.512,0.138,0.216,Ch2,,0,1,0,0,Ch2,1
5,0.182,0.458,0.176,0.184,Ch2,,0,1,0,0,Ch2,1
5,0.346,0.282,0.2,0.172,Ch1,,0,1,0,0,Ch2,0
8,0.242,0.124,0.17,0.464,Ch4,,0,0,0,1,Ch4,1
8,0.214,0.344,0.228,0.214,Ch2,,0,0,0,1,Ch4,0
9,0.226,0.464,0.164,0.146,Ch2,,0,1,0,0,Ch2,1
12,0.186,0.322,0.172,0.32,Ch2,,1,0,0,0,Ch1,0
17,0.134,0.494,0.148,0.224,Ch2,,0,1,0,0,Ch2,1
18,0.186,0.462,0.112,0.24,Ch2,,0,1,0,0,Ch2,1
18,0.058,0.566,0.178,0.198,Ch2,,0,1,0,0,Ch2,1
2,0.146,0.292,0.474,0.088,Ch3,,0,0,1,0,Ch3,1
2,0.09,0.774,0.064,0.072,Ch2,,0,0,1,0,Ch3,0
4,0.126,0.672,0.074,0.128,Ch2,,0,1,0,0,Ch2,1
5,0.256,0.378,0.234,0.132,Ch2,,0,1,0,0,Ch2,1
5,0.204,0.464,0.172,0.16,Ch2,,0,1,0,0,Ch2,1
7,0.152,0.546,0.158,0.144,Ch2,,0,1,0,0,Ch2,1
8,0.05,0.79,0.03,0.13,Ch2,,0,1,0,0,Ch2,1
9,0.14,0.598,0.104,0.158,Ch2,,0,1,0,0,Ch2,1
10,0.042,0.756,0.032,0.17,Ch2,,1,0,0,0,Ch1,0
11,0.184,0.422,0.17,0.224,Ch2,,0,1,0,0,Ch2,1
15,0.154,0.258,0.138,0.45,Ch4,,0,0,0,1,Ch4,1
15,0.192,0.406,0.178,0.224,Ch2,,0,0,0,1,Ch4,0
17,0.188,0.276,0.172,0.364,Ch4,,0,0,0,1,Ch4,1
18,0.202,0.43,0.172,0.196,Ch2,,1,0,0,0,Ch1,0
18,0.288,0.312,0.12,0.28,Ch2,,1,0,0,0,Ch1,0
18,0.036,0.544,0.04,0.38,Ch2,,1,0,0,0,Ch1,0
19,0.14,0.566,0.15,0.144,Ch2,,0,1,0,0,Ch2,1
2,0.51,0.24,0.12,0.13,Ch1,,1,0,0,0,Ch1,1
3,0.61,0.238,0.04,0.112,Ch1,,1,0,0,0,Ch1,1
4,0.524,0.304,0.048,0.124,Ch1,,0,1,0,0,Ch2,0
5,0.168,0.596,0.108,0.128,Ch2,,0,1,0,0,Ch2,1
5,0.392,0.42,0.05,0.138,Ch2,,0,1,0,0,Ch2,1
7,0.192,0.536,0.15,0.122,Ch2,,0,1,0,0,Ch2,1
7,0.354,0.462,0.046,0.138,Ch2,,0,1,0,0,Ch2,1
9,0.436,0.374,0.054,0.136,Ch1,,1,0,0,0,Ch1,1
10,0.412,0.212,0.22,0.156,Ch1,,1,0,0,0,Ch1,1
13,0.414,0.302,0.112,0.172,Ch1,,1,0,0,0,Ch1,1
14,0.312,0.428,0.12,0.14,Ch2,,0,1,0,0,Ch2,1
14,0.58,0.176,0.108,0.136,Ch1,,0,1,0,0,Ch2,0
15,0.518,0.144,0.202,0.136,Ch1,,1,0,0,0,Ch1,1
16,0.272,0.32,0.244,0.164,Ch2,,0,0,1,0,Ch3,0
16,0.246,0.298,0.302,0.154,Ch3,,0,0,1,0,Ch3,1
18,0.482,0.11,0.262,0.146,Ch1,,0,1,0,0,Ch2,0
19,0.18,0.296,0.376,0.148,Ch3,,0,0,1,0,Ch3,1
3,0.15,0.468,0.254,0.128,Ch2,,0,1,0,0,Ch2,1
5,0.224,0.206,0.432,0.138,Ch3,,0,0,1,0,Ch3,1
6,0.264,0.402,0.17,0.164,Ch2,,0,1,0,0,Ch2,1
6,0.168,0.502,0.158,0.172,Ch2,,0,1,0,0,Ch2,1
6,0.282,0.36,0.236,0.122,Ch2,,0,1,0,0,Ch2,1
7,0.296,0.346,0.202,0.156,Ch2,,1,0,0,0,Ch1,0
7,0.278,0.35,0.256,0.116,Ch2,,1,0,0,0,Ch1,0
9,0.204,0.434,0.238,0.124,Ch2,,0,1,0,0,Ch2,1
11,0.184,0.49,0.196,0.13,Ch2,,0,1,0,0,Ch2,1
12,0.196,0.254,0.378,0.172,Ch3,,0,0,1,0,Ch3,1
13,0.49,0.186,0.22,0.104,Ch1,,1,0,0,0,Ch1,1
13,0.156,0.51,0.202,0.132,Ch2,,1,0,0,0,Ch1,0
15,0.192,0.466,0.166,0.176,Ch2,,0,1,0,0,Ch2,1
16,0.488,0.204,0.152,0.156,Ch1,,1,0,0,0,Ch1,1
1,0.214,0.212,0.29,0.284,Ch3,,0,0,1,0,Ch3,1
1,0.176,0.162,0.386,0.276,Ch3,,0,0,1,0,Ch3,1
2,0.092,0.106,0.442,0.36,Ch3,,0,0,1,0,Ch3,1
6,0.108,0.158,0.174,0.56,Ch4,,0,0,0,1,Ch4,1
6,0.106,0.112,0.11,0.672,Ch4,,0,0,0,1,Ch4,1
6,0.014,0.008,0.064,0.914,Ch4,,0,0,0,1,Ch4,1
8,0.026,0.016,0.02,0.938,Ch4,,0,0,0,1,Ch4,1
10,0.054,0.034,0.07,0.842,Ch4,,0,0,0,1,Ch4,1
14,0.11,0.198,0.154,0.538,Ch4,,0,1,0,0,Ch2,0
15,0.102,0.084,0.088,0.726,Ch4,,0,0,0,1,Ch4,1
15,0.15,0.084,0.01,0.756,Ch4,,0,0,0,1,Ch4,1
17,0.386,0.074,0.102,0.438,Ch4,,1,0,0,0,Ch1,0
18,0.116,0.088,0.078,0.718,Ch4,,0,0,0,1,Ch4,1
19,0.224,0.24,0.178,0.358,Ch4,,1,0,0,0,Ch1,0
19,0.166,0.14,0.152,0.542,Ch4,,1,0,0,0,Ch1,0
19,0.154,0.17,0.12,0.556,Ch4,,1,0,0,0,Ch1,0
19,0.158,0.1,0.022,0.72,Ch4,,1,0,0,0,Ch1,0
1,0.184,0.522,0.138,0.156,Ch2,,0,1,0,0,Ch2,1
3,0.522,0.232,0.13,0.116,Ch1,,0,1,0,0,Ch2,0
6,0.394,0.312,0.18,0.114,Ch1,,0,1,0,0,Ch2,0
7,0.402,0.184,0.278,0.136,Ch1,,1,0,0,0,Ch1,1
7,0.394,0.194,0.272,0.14,Ch1,,1,0,0,0,Ch1,1
8,0.53,0.216,0.122,0.132,Ch1,,1,0,0,0,Ch1,1
13,0.186,0.238,0.386,0.19,Ch3,,1,0,0,0,Ch1,0
13,0.186,0.228,0.388,0.198,Ch3,,1,0,0,0,Ch1,0
13,0.18,0.236,0.398,0.186,Ch3,,1,0,0,0,Ch1,0
13,0.05,0.098,0.744,0.108,Ch3,,1,0,0,0,Ch1,0
14,0.168,0.184,0.474,0.174,Ch3,,0,0,1,0,Ch3,1
3,0.328,0.28,0.266,0.126,Ch1,,0,1,0,0,Ch2,0
5,0.532,0.176,0.124,0.168,Ch1,,1,0,0,0,Ch1,1
7,0.41,0.224,0.212,0.154,Ch1,,1,0,0,0,Ch1,1
7,0.418,0.298,0.112,0.172,Ch1,,1,0,0,0,Ch1,1
8,0.472,0.17,0.202,0.156,Ch1,,1,0,0,0,Ch1,1
9,0.21,0.152,0.464,0.174,Ch3,,0,0,1,0,Ch3,1
11,0.166,0.194,0.468,0.172,Ch3,,0,0,1,0,Ch3,1
11,0.474,0.202,0.154,0.17,Ch1,,0,0,1,0,Ch3,0
12,0.444,0.144,0.23,0.182,Ch1,,1,0,0,0,Ch1,1
14,0.372,0.228,0.234,0.166,Ch1,,1,0,0,0,Ch1,1
14,0.402,0.232,0.198,0.168,Ch1,,1,0,0,0,Ch1,1
16,0.534,0.148,0.192,0.126,Ch1,,1,0,0,0,Ch1,1
18,0.256,0.334,0.186,0.224,Ch2,,0,1,0,0,Ch2,1
18,0.286,0.326,0.2,0.188,Ch2,,0,1,0,0,Ch2,1
19,0.432,0.2,0.194,0.174,Ch1,,1,0,0,0,Ch1,1
1,0.092,0.056,0.048,0.804,Ch4,,0,0,0,1,Ch4,1
2,0.08,0.056,0.048,0.816,Ch4,,0,0,0,1,Ch4,1
3,0.102,0.108,0.114,0.676,Ch4,,0,0,0,1,Ch4,1
3,0.118,0.122,0.098,0.662,Ch4,,0,0,0,1,Ch4,1
3,0.114,0.146,0.112,0.628,Ch4,,0,0,0,1,Ch4,1
3,0.084,0.062,0.054,0.8,Ch4,,0,0,0,1,Ch4,1
8,0.108,0.104,0.088,0.7,Ch4,,0,0,0,1,Ch4,1
10,0.078,0.112,0.208,0.602,Ch4,,0,0,0,1,Ch4,1
12,0.01,0.008,0.008,0.974,Ch4,,0,0,0,1,Ch4,1
15,0.08,0.074,0.082,0.764,Ch4,,0,0,0,1,Ch4,1
16,0.132,0.17,0.082,0.616,Ch4,,0,0,0,1,Ch4,1
16,0.086,0.176,0.14,0.598,Ch4,,0,0,0,1,Ch4,1
18,0.088,0.084,0.15,0.678,Ch4,,0,0,0,1,Ch4,1
18,0.06,0.074,0.092,0.774,Ch4,,0,0,0,1,Ch4,1
18,0.014,0.166,0.248,0.572,Ch4,,0,0,0,1,Ch4,1
1,0.222,0.48,0.166,0.132,Ch2,,0,1,0,0,Ch2,1
2,0.384,0.194,0.184,0.238,Ch1,,1,0,0,0,Ch1,1
4,0.448,0.284,0.14,0.128,Ch1,,1,0,0,0,Ch1,1
6,0.518,0.186,0.09,0.206,Ch1,,1,0,0,0,Ch1,1
7,0.306,0.226,0.134,0.334,Ch4,,1,0,0,0,Ch1,0
7,0.394,0.232,0.084,0.29,Ch1,,1,0,0,0,Ch1,1
8,0.162,0.204,0.478,0.156,Ch3,,0,0,1,0,Ch3,1
10,0.172,0.498,0.098,0.232,Ch2,,0,1,0,0,Ch2,1
10,0.22,0.3,0.212,0.268,Ch2,,0,1,0,0,Ch2,1
11,0.19,0.222,0.204,0.384,Ch4,,0,1,0,0,Ch2,0
13,0.152,0.146,0.404,0.298,Ch3,,0,0,1,0,Ch3,1
13,0.158,0.238,0.378,0.226,Ch3,,0,0,1,0,Ch3,1
14,0.166,0.16,0.148,0.526,Ch4,,0,0,0,1,Ch4,1
17,0.144,0.186,0.15,0.52,Ch4,,0,0,0,1,Ch4,1
17,0.362,0.06,0.214,0.364,Ch4,,0,0,0,1,Ch4,1
2,0.108,0.142,0.134,0.616,Ch4,,0,0,0,1,Ch4,1
5,0.136,0.12,0.076,0.668,Ch4,,0,0,0,1,Ch4,1
6,0.106,0.05,0.024,0.82,Ch4,,0,0,0,1,Ch4,1
8,0.484,0.142,0.146,0.228,Ch1,,1,0,0,0,Ch1,1
10,0.094,0.222,0.242,0.442,Ch4,,0,0,0,1,Ch4,1
11,0.082,0.152,0.096,0.67,Ch4,,0,0,0,1,Ch4,1
13,0.084,0.12,0.098,0.698,Ch4,,0,0,0,1,Ch4,1
14,0.112,0.126,0.08,0.682,Ch4,,0,0,0,1,Ch4,1
15,0.01,0.032,0.008,0.95,Ch4,,0,0,0,1,Ch4,1
17,0.018,0.028,0.016,0.938,Ch4,,0,0,0,1,Ch4,1
18,0.084,0.108,0.094,0.714,Ch4,,0,0,0,1,Ch4,1
2,0.154,0.316,0.31,0.22,Ch2,,0,0,1,0,Ch3,0
2,0.222,0.332,0.362,0.084,Ch3,,0,0,1,0,Ch3,1
3,0.392,0.19,0.204,0.214,Ch1,,1,0,0,0,Ch1,1
4,0.156,0.482,0.148,0.214,Ch2,,0,1,0,0,Ch2,1
4,0.342,0.244,0.156,0.258,Ch1,,0,1,0,0,Ch2,0
5,0.162,0.312,0.226,0.3,Ch2,,0,0,0,1,Ch4,0
5,0.204,0.27,0.236,0.29,Ch4,,0,0,0,1,Ch4,1
6,0.336,0.31,0.136,0.218,Ch1,,1,0,0,0,Ch1,1
6,0.416,0.29,0.086,0.208,Ch1,,1,0,0,0,Ch1,1
7,0.166,0.468,0.132,0.234,Ch2,,0,1,0,0,Ch2,1
8,0.334,0.398,0.02,0.248,Ch2,,0,1,0,0,Ch2,1
9,0.178,0.512,0.1,0.21,Ch2,,0,1,0,0,Ch2,1
11,0.19,0.382,0.278,0.15,Ch2,,0,1,0,0,Ch2,1
12,0.234,0.238,0.16,0.368,Ch4,,0,0,0,1,Ch4,1
12,0.224,0.254,0.156,0.366,Ch4,,0,0,0,1,Ch4,1
13,0.336,0.216,0.142,0.306,Ch1,,1,0,0,0,Ch1,1
15,0.412,0.292,0.016,0.28,Ch1,,0,0,1,0,Ch3,0
16,0.364,0.184,0.326,0.126,Ch1,,1,0,0,0,Ch1,1
17,0.494,0.192,0.018,0.296,Ch1,,0,1,0,0,Ch2,0
18,0.35,0.27,0.154,0.226,Ch1,,1,0,0,0,Ch1,1
18,0.472,0.24,0.084,0.204,Ch1,,1,0,0,0,Ch1,1
1,0.168,0.234,0.218,0.38,Ch4,,0,0,0,1,Ch4,1
2,0.27,0.166,0.146,0.418,Ch4,,0,0,0,1,Ch4,1
4,0.234,0.214,0.154,0.398,Ch4,,0,0,0,1,Ch4,1
6,0.138,0.124,0.052,0.686,Ch4,,0,0,0,1,Ch4,1
13,0.432,0.186,0.126,0.256,Ch1,,1,0,0,0,Ch1,1
14,0.168,0.266,0.224,0.342,Ch4,,0,0,1,0,Ch3,0
14,0.148,0.192,0.34,0.32,Ch3,,0,0,1,0,Ch3,1
14,0.088,0.006,0.032,0.874,Ch4,,0,0,1,0,Ch3,0
15,0.052,0.1,0.086,0.762,Ch4,,0,0,0,1,Ch4,1
17,0.098,0.086,0.078,0.738,Ch4,,0,0,0,1,Ch4,1
18,0.104,0.08,0.084,0.732,Ch4,,0,0,0,1,Ch4,1
19,0.13,0.094,0.12,0.656,Ch4,,0,0,0,1,Ch4,1
1,0.194,0.5,0.178,0.128,Ch2,,0,1,0,0,Ch2,1
3,0.138,0.632,0.182,0.048,Ch2,,0,1,0,0,Ch2,1
4,0.234,0.48,0.18,0.106,Ch2,,0,1,0,0,Ch2,1
4,0.194,0.448,0.296,0.062,Ch2,,0,1,0,0,Ch2,1
5,0.244,0.34,0.33,0.086,Ch2,,0,1,0,0,Ch2,1
7,0.466,0.188,0.236,0.11,Ch1,,1,0,0,0,Ch1,1
8,0.486,0.178,0.198,0.138,Ch1,,1,0,0,0,Ch1,1
9,0.116,0.19,0.56,0.134,Ch3,,0,0,1,0,Ch3,1
10,0.428,0.194,0.214,0.164,Ch1,,1,0,0,0,Ch1,1
11,0.162,0.224,0.136,0.478,Ch4,,0,0,0,1,Ch4,1
12,0.184,0.546,0.148,0.122,Ch2,,0,1,0,0,Ch2,1
12,0.244,0.41,0.164,0.182,Ch2,,0,1,0,0,Ch2,1
15,0.24,0.206,0.126,0.428,Ch4,,0,0,0,1,Ch4,1
16,0.16,0.496,0.164,0.18,Ch2,,0,1,0,0,Ch2,1
17,0.412,0.182,0.244,0.162,Ch1,,1,0,0,0,Ch1,1
17,0.178,0.284,0.074,0.464,Ch4,,1,0,0,0,Ch1,0
18,0.154,0.224,0.076,0.546,Ch4,,0,1,0,0,Ch2,0
2,0.062,0.452,0.108,0.378,Ch2,,0,1,0,0,Ch2,1
4,0.144,0.468,0.15,0.238,Ch2,,0,1,0,0,Ch2,1
5,0.114,0.208,0.204,0.474,Ch4,,0,0,0,1,Ch4,1
5,0.162,0.274,0.186,0.378,Ch4,,0,0,0,1,Ch4,1
6,0.218,0.15,0.346,0.286,Ch3,,0,0,1,0,Ch3,1
7,0.186,0.162,0.366,0.286,Ch3,,0,0,1,0,Ch3,1
8,0.4,0.206,0.154,0.24,Ch1,,1,0,0,0,Ch1,1
8,0.416,0.15,0.106,0.328,Ch1,,1,0,0,0,Ch1,1
12,0.08,0.044,0.044,0.832,Ch4,,0,0,0,1,Ch4,1
13,0.16,0.114,0.128,0.598,Ch4,,0,0,0,1,Ch4,1
13,0.054,0.038,0.034,0.874,Ch4,,0,0,0,1,Ch4,1
14,0.13,0.192,0.126,0.552,Ch4,,0,0,0,1,Ch4,1
14,0.19,0.238,0.152,0.42,Ch4,,0,0,0,1,Ch4,1
15,0.142,0.174,0.148,0.536,Ch4,,0,0,0,1,Ch4,1
15,0.148,0.164,0.12,0.568,Ch4,,0,0,0,1,Ch4,1
16,0.128,0.176,0.12,0.576,Ch4,,0,0,0,1,Ch4,1
2,0.42,0.398,0.046,0.136,Ch1,,0,0,0,1,Ch4,0
3,0.446,0.224,0.142,0.188,Ch1,,1,0,0,0,Ch1,1
3,0.452,0.19,0.118,0.24,Ch1,,1,0,0,0,Ch1,1
3,0.296,0.522,0.064,0.118,Ch2,,1,0,0,0,Ch1,0
9,0.22,0.586,0.05,0.144,Ch2,,1,0,0,0,Ch1,0
10,0.234,0.4,0.198,0.168,Ch2,,0,1,0,0,Ch2,1
10,0.292,0.362,0.172,0.174,Ch2,,0,1,0,0,Ch2,1
11,0.192,0.19,0.122,0.496,Ch4,,0,0,0,1,Ch4,1
11,0.146,0.658,0.038,0.158,Ch2,,0,0,0,1,Ch4,0
13,0.248,0.23,0.13,0.392,Ch4,,0,0,0,1,Ch4,1
14,0.264,0.42,0.128,0.188,Ch2,,0,1,0,0,Ch2,1
14,0.18,0.502,0.112,0.206,Ch2,,0,1,0,0,Ch2,1
15,0.12,0.172,0.554,0.154,Ch3,,0,0,1,0,Ch3,1
17,0.57,0.126,0.158,0.146,Ch1,,1,0,0,0,Ch1,1
17,0.454,0.276,0.106,0.164,Ch1,,1,0,0,0,Ch1,1
18,0.474,0.176,0.18,0.17,Ch1,,1,0,0,0,Ch1,1
18,0.478,0.266,0.088,0.168,Ch1,,1,0,0,0,Ch1,1
1,0.148,0.174,0.18,0.498,Ch4,,0,0,0,1,Ch4,1
2,0.492,0.174,0.164,0.17,Ch1,,1,0,0,0,Ch1,1
2,0.138,0.206,0.028,0.628,Ch4,,1,0,0,0,Ch1,0
4,0.5,0.152,0.118,0.23,Ch1,,1,0,0,0,Ch1,1
7,0.192,0.142,0.082,0.584,Ch4,,0,0,0,1,Ch4,1
8,0.1,0.536,0.142,0.222,Ch2,,0,1,0,0,Ch2,1
9,0.272,0.134,0.126,0.468,Ch4,,0,0,0,1,Ch4,1
9,0.074,0.36,0.096,0.47,Ch4,,0,0,0,1,Ch4,1
11,0.22,0.208,0.142,0.43,Ch4,,0,0,0,1,Ch4,1
12,0.17,0.474,0.144,0.212,Ch2,,0,1,0,0,Ch2,1
12,0.158,0.204,0.104,0.534,Ch4,,0,1,0,0,Ch2,0
13,0.176,0.184,0.096,0.544,Ch4,,0,0,1,0,Ch3,0
14,0.184,0.282,0.16,0.374,Ch4,,0,0,0,1,Ch4,1
14,0.214,0.204,0.168,0.414,Ch4,,0,0,0,1,Ch4,1
15,0.39,0.218,0.172,0.22,Ch1,,1,0,0,0,Ch1,1
15,0.41,0.244,0.132,0.214,Ch1,,1,0,0,0,Ch1,1
19,0.102,0.152,0.168,0.578,Ch4,,0,0,0,1,Ch4,1
3,0.268,0.218,0.106,0.408,Ch4,,0,0,0,1,Ch4,1
3,0.166,0.53,0.034,0.27,Ch2,,0,0,0,1,Ch4,0
7,0.526,0.166,0.078,0.23,Ch1,,1,0,0,0,Ch1,1
7,0.394,0.338,0.026,0.242,Ch1,,1,0,0,0,Ch1,1
8,0.214,0.424,0.092,0.27,Ch2,,0,1,0,0,Ch2,1
9,0.16,0.162,0.06,0.618,Ch4,,0,0,0,1,Ch4,1
9,0.298,0.392,0.02,0.29,Ch2,,0,0,0,1,Ch4,0
14,0.198,0.472,0.056,0.274,Ch2,,0,1,0,0,Ch2,1
15,0.45,0.192,0.07,0.288,Ch1,,1,0,0,0,Ch1,1
16,0.148,0.15,0.056,0.646,Ch4,,0,0,0,1,Ch4,1
17,0.284,0.294,0.128,0.294,Ch2,,0,0,0,1,Ch4,0
17,0.222,0.326,0.09,0.362,Ch4,,0,0,0,1,Ch4,1
17,0.242,0.274,0.08,0.404,Ch4,,0,0,0,1,Ch4,1
18,0.18,0.558,0.074,0.188,Ch2,,0,1,0,0,Ch2,1
18,0.122,0.34,0.02,0.518,Ch4,,0,1,0,0,Ch2,0
1,0.156,0.254,0.296,0.294,Ch3,,0,0,0,1,Ch4,0
3,0.07,0.112,0.08,0.738,Ch4,,0,0,0,1,Ch4,1
6,0.362,0.158,0.166,0.314,Ch1,,1,0,0,0,Ch1,1
7,0.346,0.2,0.126,0.328,Ch1,,1,0,0,0,Ch1,1
8,0.154,0.174,0.4,0.272,Ch3,,0,0,1,0,Ch3,1
9,0.184,0.332,0.106,0.378,Ch4,,0,1,0,0,Ch2,0
10,0.158,0.166,0.152,0.524,Ch4,,0,0,0,1,Ch4,1
12,0.386,0.146,0.116,0.352,Ch1,,1,0,0,0,Ch1,1
13,0.252,0.452,0.144,0.152,Ch2,,0,1,0,0,Ch2,1
17,0.136,0.482,0.126,0.256,Ch2,,0,1,0,0,Ch2,1
19,0.194,0.206,0.064,0.536,Ch4,,0,0,0,1,Ch4,1
1,0.212,0.162,0.518,0.108,Ch3,,0,0,1,0,Ch3,1
1,0.422,0.246,0.238,0.094,Ch1,,0,0,1,0,Ch3,0
2,0.252,0.216,0.416,0.116,Ch3,,0,0,1,0,Ch3,1
2,0.476,0.216,0.226,0.082,Ch1,,0,0,1,0,Ch3,0
3,0.53,0.19,0.198,0.082,Ch1,,0,1,0,0,Ch2,0
7,0.276,0.466,0.162,0.096,Ch2,,0,1,0,0,Ch2,1
7,0.468,0.204,0.262,0.066,Ch1,,0,1,0,0,Ch2,0
8,0.26,0.434,0.222,0.084,Ch2,,0,1,0,0,Ch2,1
9,0.244,0.134,0.514,0.108,Ch3,,0,0,1,0,Ch3,1
12,0.184,0.56,0.134,0.122,Ch2,,0,1,0,0,Ch2,1
14,0.446,0.188,0.22,0.146,Ch1,,1,0,0,0,Ch1,1
14,0.508,0.144,0.272,0.076,Ch1,,1,0,0,0,Ch1,1
16,0.514,0.104,0.302,0.08,Ch1,,0,0,0,1,Ch4,0
17,0.52,0.2,0.17,0.11,Ch1,,1,0,0,0,Ch1,1
18,0.276,0.152,0.466,0.106,Ch3,,0,0,1,0,Ch3,1
19,0.19,0.162,0.514,0.134,Ch3,,0,0,1,0,Ch3,1
4,0.09,0.502,0.166,0.242,Ch2,,0,1,0,0,Ch2,1
5,0.294,0.238,0.23,0.238,Ch1,,1,0,0,0,Ch1,1
7,0.092,0.222,0.202,0.484,Ch4,,0,1,0,0,Ch2,0
8,0.128,0.192,0.162,0.518,Ch4,,0,0,0,1,Ch4,1
10,0.098,0.512,0.158,0.232,Ch2,,0,1,0,0,Ch2,1
10,0.082,0.326,0.264,0.328,Ch4,,0,1,0,0,Ch2,0
12,0.182,0.448,0.184,0.186,Ch2,,0,1,0,0,Ch2,1
13,0.262,0.282,0.208,0.248,Ch2,,1,0,0,0,Ch1,0
13,0.248,0.256,0.234,0.262,Ch4,,1,0,0,0,Ch1,0
15,0.084,0.164,0.338,0.414,Ch4,,0,1,0,0,Ch2,0
16,0.102,0.178,0.488,0.232,Ch3,,0,0,1,0,Ch3,1
17,0.1,0.216,0.478,0.206,Ch3,,0,0,1,0,Ch3,1
18,0.078,0.17,0.508,0.244,Ch3,,0,0,1,0,Ch3,1
19,0.148,0.172,0.47,0.21,Ch3,,0,0,1,0,Ch3,1
19,0.058,0.09,0.584,0.268,Ch3,,0,0,1,0,Ch3,1
2,0.076,0.21,0.538,0.176,Ch3,,0,0,1,0,Ch3,1
3,0.504,0.15,0.126,0.22,Ch1,,1,0,0,0,Ch1,1
3,0.044,0.35,0.448,0.158,Ch3,,1,0,0,0,Ch1,0
5,0.154,0.204,0.396,0.246,Ch3,,0,0,1,0,Ch3,1
8,0.112,0.182,0.48,0.226,Ch3,,0,0,1,0,Ch3,1
8,0.052,0.498,0.244,0.206,Ch2,,0,0,1,0,Ch3,0
9,0.146,0.234,0.108,0.512,Ch4,,0,0,0,1,Ch4,1
9,0.04,0.45,0.28,0.23,Ch2,,0,0,0,1,Ch4,0
10,0.054,0.366,0.326,0.254,Ch2,,0,0,0,1,Ch4,0
12,0.128,0.288,0.44,0.144,Ch3,,0,0,1,0,Ch3,1
